name,duration,rating,genre,poster,years,total_years
#adaleTT,None,None,['Action'],"https://m.media-amazon.com/images/M/MV5BODc5NDQwNjUtMTQyMy00YjQzLWE3OWQtZTUzMmYwNGVhNjZjXkEyXkFqcGdeQXVyNTc0NjY1ODk@._V1_QL75_UY140_CR30,0,140,140_.jpg",[''],None
%100 Futbol,50,5.1,['Sport'],"https://m.media-amazon.com/images/M/MV5BNjI3OGQ4MzgtZDQ3My00YzI1LTkxZWItMDE0YzI3NmFmODg1XkEyXkFqcGdeQXVyNDIwOTkyNjM@._V1_QL75_UY281_CR117,0,190,281_.jpg","['2005', ' ']",None
1 Erkek 1 Kadin 2 Cocuk,50,7.6,['Comedy'],"https://m.media-amazon.com/images/M/MV5BNWE2MGNiZWYtODk0Ny00OTlhLTgwOGUtZjE4ZDczYTBkMWUxXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR6,0,190,281_.jpg","['2014', '2015']",None
1 Kadin 1 Erkek,45,7.8,['Comedy'],"https://m.media-amazon.com/images/M/MV5BODEwNDk1Njg0M15BMl5BanBnXkFtZTcwMTM5MTYzNw@@._V1_QL75_UY281_CR4,0,190,281_.jpg","['2008', '2015']",8
10 Bin Adim,11,7.8,['Comedy. Drama'],"https://m.media-amazon.com/images/M/MV5BMmI3Yjg5ZDEtMmE4Ny00MTJjLTg5YzEtMTcwMjNmNTAyZjJiXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR18,0,190,281_.jpg","['2020', ' ']",3
103 Gol,None,8.2,['Documentary. Sport'],"https://m.media-amazon.com/images/M/MV5BOTRjNDI2NWQtNjBhYy00MWFiLThkM2MtOTVmMWNiMDk2ODEyXkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_QL75_UX190_CR0,2,190,281_.jpg",['2021'],1
12 Mart: Ihtilalin Pencesinde Demokrasi,500,8.9,['Documentary'],"https://m.media-amazon.com/images/M/MV5BZDdhNTljOTEtOGJkYy00Y2ZkLWJiNmMtMWMyM2VhZjQ5MGZkXkEyXkFqcGdeQXVyMjIyMTMwNDU@._V1_QL75_UX190_CR0,7,190,281_.jpg",['1994'],1
15 Dakika,None,None,['Documentary. Biography'],None,['2017'],None
2.Sayfa,150,3.6,['News. Talk-Show'],"https://m.media-amazon.com/images/M/MV5BOTZlNzZmNzctYWNiMi00NTUxLTk1NDMtZGRkZGExNzMwZTRmXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR155,0,190,281_.jpg","['2010', ' ']",4
20 Dakika,90,7.1,['Action. Drama. Romance'],"https://m.media-amazon.com/images/M/MV5BMTQxNjY0Mjk4NV5BMl5BanBnXkFtZTcwNDA0OTgxOQ@@._V1_QL75_UY281_CR5,0,190,281_.jpg",['2013'],1
2010-2011 TFF 1. Lig,None,None,['Sport'],"https://m.media-amazon.com/images/M/MV5BMjI5ODJkYTktY2Q5Mi00ZTMyLTg2ZGItMzk5NjYyZGRiYjhhXkEyXkFqcGdeQXVyNzExNDUzOTY@._V1_QL75_UY281_CR42,0,190,281_.jpg","['2013', '2014']",2
2011-2012 TFF 1. Lig,None,None,['Sport'],"https://m.media-amazon.com/images/M/MV5BN2ZkNjkyYTUtMjA5Mi00MDAyLTg3OTktNTViMjQzN2VhZTgwXkEyXkFqcGdeQXVyNzExNDUzOTY@._V1_QL75_UY281_CR153,0,190,281_.jpg","['2011', '2012']",2
2012-2013 Süper Lig,90,6.4,['Sport'],"https://m.media-amazon.com/images/M/MV5BNzUzOTExMjUtYTA0My00ZmIxLThjMTktODMwMzFiNjhlZDRiXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR18,0,190,281_.jpg","['2012', '2013']",2
2013-2014 Süper Lig,90,6.5,['Sport'],"https://m.media-amazon.com/images/M/MV5BYThlNWZkZmItNTFiMS00YTk3LThlYjgtM2VhZmM2YzVhM2I2XkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR196,0,190,281_.jpg","['2013', '2014']",None
2013-2014 TFF 1. Lig,None,None,['Sport'],"https://m.media-amazon.com/images/M/MV5BY2UxNWNmNTgtYTE3Zi00M2RjLWE5ZmMtNDVhYzBhOGQzMGI5XkEyXkFqcGdeQXVyNzExNDUzOTY@._V1_QL75_UY281_CR48,0,190,281_.jpg","['2013', '2014']",2
2014-2015 Süper Lig,90,6.4,['Sport'],"https://m.media-amazon.com/images/M/MV5BMTc5MTE3OWYtOGVlNC00ZDM5LTkxZTItNjAxN2NiZWM5ZDIyXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR26,0,190,281_.jpg","['2014', '2015']",None
2014-2015 TFF 1. Lig,None,None,['Sport'],"https://m.media-amazon.com/images/M/MV5BZTI4ZTVlMWMtNTkwYS00NDJmLTlkODUtYTFlOWFjYmZkZmM2XkEyXkFqcGdeQXVyNzExNDUzOTY@._V1_QL75_UY281_CR117,0,190,281_.jpg","['2014', '2015']",2
2015-2016 Süper Lig,90,6.3,['Sport'],"https://m.media-amazon.com/images/M/MV5BNDFhZjljZTItZmVkMy00NWU3LWEzYzQtYmIxYTAwODZmMThkXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR14,0,190,281_.jpg","['2015', '2016']",None
2015-2016 TFF 1. Lig,None,None,['Sport'],"https://m.media-amazon.com/images/M/MV5BYjA3Y2EzNWEtMjgxYS00ODQ0LWJlOTUtMjJiOWJhNmM1ZmYzXkEyXkFqcGdeQXVyNzExNDUzOTY@._V1_QL75_UY281_CR144,0,190,281_.jpg","['2015', '2016']",2
2016-2017 Süper Lig,90,6.3,['Sport'],"https://m.media-amazon.com/images/M/MV5BYWY5YzY0OTMtNGEzYS00NGFjLThiZjYtYjVjYTNiN2NmYjlkXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR19,0,190,281_.jpg","['2016', '2017']",None
2016-2017 TFF 1. Lig,None,None,['Sport'],"https://m.media-amazon.com/images/M/MV5BYjhmZjdjMzItZTcyMi00ZTM2LWJhYjctMGVhZDRhYTAxYzI5XkEyXkFqcGdeQXVyNzExNDUzOTY@._V1_QL75_UY281_CR117,0,190,281_.jpg","['2016', '2017']",2
2017-2018 Süper Lig,90,6.4,['Sport'],"https://m.media-amazon.com/images/M/MV5BMGU1ZGM1YjktNWQ2Mi00NDQwLWJjODAtOGNmODdhNDg5ZWZmXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR32,0,190,281_.jpg","['2017', '2018']",2
2017-2018 TFF 1. Lig,90,None,['Sport'],"https://m.media-amazon.com/images/M/MV5BZWM0ZjRiNjAtNGRmNS00YTVhLWEwYTgtMGZhMGNkZWEwYzdmXkEyXkFqcGdeQXVyNzExNDUzOTY@._V1_QL75_UY281_CR4,0,190,281_.jpg","['2017', '2018']",2
2018-2019 Süper Lig,90,6.5,['Sport'],"https://m.media-amazon.com/images/M/MV5BN2Y4NGIzZDEtZGVlMi00NzNiLWEzY2MtZGQ4NTJkOTk3MmI5XkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR116,0,190,281_.jpg","['2018', '2019']",2
2018-2019 TFF 1. Lig,None,None,['Sport'],"https://m.media-amazon.com/images/M/MV5BMmYxMjA3MzAtNmQyMy00YzM5LWI4YmQtZDRkNDUzYmI4MjMwXkEyXkFqcGdeQXVyNzExNDUzOTY@._V1_QL75_UX190_CR0,5,190,281_.jpg","['2018', '2019']",2
2019-2020 Süper Lig,90,5.5,['Sport'],"https://m.media-amazon.com/images/M/MV5BMTExNThiM2QtN2U2OC00ZTg3LWIzNGQtOGYzYjNlNGU5Y2Y5XkEyXkFqcGdeQXVyNzExNDUzOTY@._V1_QL75_UY281_CR32,0,190,281_.jpg","['2019', '2020']",2
2019-2020 Turkish Cup,90,None,['Sport'],"https://m.media-amazon.com/images/M/MV5BMjEzZjM1MTQtNTVhOC00NDE3LWIyYTQtYmM4ZGIyNGNkYWUzXkEyXkFqcGdeQXVyNzExNDUzOTY@._V1_QL75_UY281_CR32,0,190,281_.jpg","['2019', '2020']",2
2020-2021 Süper Lig,90,5.4,['Sport'],"https://m.media-amazon.com/images/M/MV5BMzc2Nzk5OWYtYTlmMS00ZWQxLTk4ZmItMGFiNzhiZWQyYjBkXkEyXkFqcGdeQXVyNzExNDUzOTY@._V1_QL75_UY281_CR38,0,190,281_.jpg","['2020', '2021']",2
2021-2022 Süper Lig,90,1.9,['Sport'],"https://m.media-amazon.com/images/M/MV5BOTZjMmE3ODgtNjExYS00OGIzLTg0MmUtODA1NjQ1MzMxODE3XkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR25,0,190,281_.jpg","['2021', '2022']",2
2021-2022 TFF 1. Lig,None,None,['Sport'],"https://m.media-amazon.com/images/M/MV5BMTUwMGVjZjMtODAxNi00MjdhLTk0MjktYTNjZTBmM2MyZDg4XkEyXkFqcGdeQXVyNzExNDUzOTY@._V1_QL75_UY281_CR4,0,190,281_.jpg","['2021', '2022']",2
2022-2023 Süper Lig,90,None,['Sport'],"https://m.media-amazon.com/images/M/MV5BNjkwNDcyODYtOGZmNy00YzMxLThiY2UtOGU5ZjM5M2ZkNDA5XkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR15,0,190,281_.jpg","['2022', ' ']",2
23 Buçuk,None,None,['News'],None,['2010'],None
29-30,None,6.7,['Drama. Game-Show'],"https://m.media-amazon.com/images/M/MV5BN2IwY2UwODEtOTg0Yy00YWM5LTljZDAtZDMyMDI0ZmNjZDU1XkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR10,0,190,281_.jpg",['2006'],1
3 Adam,120,3.5,['Talk-Show'],"https://m.media-amazon.com/images/M/MV5BOTBkZGRhYzUtYjA0Zi00YWEyLTgxZTAtOThhNThiOGE1ZTAzXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR22,0,190,281_.jpg","['2013', '2017']",None
3 Insan 3 Öykü,None,None,['Documentary. Biography'],"https://m.media-amazon.com/images/M/MV5BNTViZjc4NjUtNTFhMy00YThiLTk5YTQtMWY3ZTNlZjk0ZmMwXkEyXkFqcGdeQXVyMTc4MzI2NQ@@._V1_QL75_UX140_CR0,7,140,140_.jpg",['2008'],1
3 Tatli Cadi,None,None,['Comedy. Family. Fantasy'],"https://m.media-amazon.com/images/M/MV5BZjIyMmRjZDAtOTYyMi00NzZiLThlZmMtZDFkMjdlZjNiYjEzXkEyXkFqcGdeQXVyNTcyNTg3Nzc@._V1_QL75_UY281_CR19,0,190,281_.jpg",['2007'],1
3'te 3 Bir Zamanlar,100,None,['Game-Show'],"https://m.media-amazon.com/images/M/MV5BNTQ2NTZmNWEtZTNkOS00ZGE1LTk2NTctNjU4YTEwMTEzMTM0XkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR46,0,190,281_.jpg",['2019'],1
3'te 3 Tarih,60,6.6,['Game-Show'],"https://m.media-amazon.com/images/M/MV5BZDM5ZmVlZjMtOGNiYi00YjFlLWJhMjAtZjRjOTMyZjk3NzQxXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR17,0,190,281_.jpg","['2018', '2020']",2
3. Tür,None,3.6,['Comedy. Fantasy'],"https://m.media-amazon.com/images/M/MV5BNzIyNzlmZWYtYmFhYi00ZDVlLTkwZGQtNzMwYjNkNTZjN2NiXkEyXkFqcGdeQXVyOTM4NDAxMjA@._V1_QL75_UX140_CR0,12,140,140_.jpg",['2004'],None
300 days in Israel,None,None,['Short'],None,"['2022', ' ']",None
32. Gün,None,8.6,['News. Talk-Show'],"https://m.media-amazon.com/images/M/MV5BNzVhYTliNTEtNGY0Ni00YWQ2LTkwYzktYjgxODE4MThhMGM4XkEyXkFqcGdeQXVyNDIwOTkyNjM@._V1_QL75_UY281_CR19,0,190,281_.jpg","['1985', '2018']",3
3G Geldim Gördüm Güldüm Show,None,3.1,['Comedy'],"https://m.media-amazon.com/images/M/MV5BNjQwNzZlNTktMDBiNy00NWU2LTk4YTMtMjIzMTFiM2VkNzlhXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR197,0,190,281_.jpg",['2016'],None
4. Osman,None,None,['Action'],"https://m.media-amazon.com/images/M/MV5BZDlhNjljN2UtNWM0Zi00YmJjLWE4YTktMmQ0MGMyMGYwZmM2XkEyXkFqcGdeQXVyMzUwNzg3Mjk@._V1_QL75_UY140_CR13,0,140,140_.jpg","['2009', '2010']",None
40,90,5.6,['Talk-Show'],"https://m.media-amazon.com/images/M/MV5BNWZmMjM1ZDctNmY2Zi00ZmVmLWFlZjQtMzFjNTk4ZDdkM2MxXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR18,0,190,281_.jpg","['2018', ' ']",5
46 Yok Olan,60,8.2,['Action. Crime. Drama'],"https://m.media-amazon.com/images/M/MV5BNzVhODY3YzQtYzZlZS00YWNkLWEyNTAtNWMwYzhmOTBmNTUyXkEyXkFqcGdeQXVyMTE2MDU0NzAw._V1_QL75_UY281_CR1,0,190,281_.jpg",['2016'],1
4N1K,100,5.1,['Comedy. Romance'],"https://m.media-amazon.com/images/M/MV5BODNlYTI5MzctZDA0MS00MTUwLTk2MDYtMTZlMDkzYzg5MDNmXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR6,0,190,281_.jpg","['2018', '2019']",2
5'er Beser,100,6.9,['Comedy'],"https://m.media-amazon.com/images/M/MV5BM2ZlMjVmNDQtMTJkOS00YmUyLWI1ZGQtZDllY2QwMjVmN2JkXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR9,0,190,281_.jpg",['2011'],1
50M2,45,6.9,['Comedy. Drama. Thriller'],"https://m.media-amazon.com/images/M/MV5BOWM4NTE0ZGItNjc4My00M2EyLWI5YzctZTQ0ZTY1ZGVlYzRmXkEyXkFqcGdeQXVyMTAxOTI3NjI2._V1_QL75_UY281_CR15,0,190,281_.jpg",['2021'],1
5N1K,None,6.1,['News'],"https://m.media-amazon.com/images/M/MV5BZTk4ZTdhZWEtYzU3OS00NzU2LWE5NmYtMGQ5NDdmMzJkMWUyXkEyXkFqcGdeQXVyNDIwOTkyNjM@._V1_QL75_UY281_CR93,0,190,281_.jpg","['1999', ' ']",None
6 Manti,60,5.9,['Comedy. Drama'],"https://m.media-amazon.com/images/M/MV5BNmUyODU3YjUtYTJmNy00ZDY0LWI0YzMtZGE0MWM0MzU3YmEwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTcyNTg3Nzc@._V1_QL75_UX190_CR0,11,190,281_.jpg","['2012', '2013']",1
6 Sport,None,None,['News'],"https://m.media-amazon.com/images/M/MV5BNGJhMzk5MWYtMjYxNC00ZDk2LWIyZjItYzg1NDg1MTI2MTczXkEyXkFqcGdeQXVyMDYyNjY0NQ@@._V1_QL75_UY281_CR34,0,190,281_.jpg",['2011'],None
6.45 Yayinevi'nde Standart Bir Gün,None,None,['Drama'],"https://m.media-amazon.com/images/M/MV5BYWI1NjkwYzMtYTFhYi00OWVkLTgxMTEtMWYwNzIxODYxNmM5XkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UX140_CR0,12,140,140_.jpg",['2021'],None
64 Bars,None,None,['Documentary'],"https://m.media-amazon.com/images/M/MV5BN2QxODIxYzktMzI4MC00M2E1LTlhNDAtMmRiODFlZGVmNjhlXkEyXkFqcGdeQXVyNjkzMTg3OTQ@._V1_QL75_UX190_CR0,2,190,281_.jpg","['2021', ' ']",None
